Sources,Datasets,Feature Types,Data Types,Dimensions,Count
TCGA,UCEC,Molecular,RPPA,AKT1,33
TCGA,UCEC,Molecular,RPPA,AKT1,33
TCGA,UCEC,Molecular,GEXP,AKT1,33
TCGA,UCEC,Molecular,GEXP,AKT1,33
TCGA,UCEC,Molecular,METH,KRAS,33
TCGA,UCEC,Molecular,METH,KRAS,33
TCGA,UCEC,Molecular,RPPA,KRAS,33
TCGA,UCEC,Molecular,GEXP,KRAS,33
TCGA,UCEC,Molecular,GEXP,KRAS,33
TCGA,UCEC,Molecular,GNAB,KRAS,33
TCGA,HNSC,Molecular,RPPA,TP53,33
TCGA,HNSC,Molecular,GEXP,TP53,33
TCGA,HNSC,Molecular,GNAB,TP53,33
TCGA,HNSC,Molecular,GEXP,RAD51,33
TCGA,HNSC,Molecular,RPPA,AKT1,33
TCGA,HNSC,Molecular,RPPA,AKT1,33
TCGA,HNSC,Molecular,RPPA,AKT1,33
TCGA,HNSC,Molecular,GEXP,AKT1,33
TCGA,HNSC,Molecular,GNAB,AKT1,33
TCGA,HNSC,Molecular,METH,KRAS,33
TCGA,HNSC,Molecular,GEXP,KRAS,33
TCGA,HNSC,Molecular,RPPA,KRAS,33
TCGA,HNSC,Molecular,GNAB,KRAS,33
TCGA,BLCA,Molecular,METH,TP53,33
TCGA,BLCA,Molecular,RPPA,TP53,33
TCGA,BLCA,Molecular,GEXP,TP53,33
TCGA,BLCA,Molecular,GNAB,TP53,33
TCGA,BLCA,Molecular,RPPA,RAD51,33
TCGA,BLCA,Molecular,GEXP,RAD51,33
TCGA,BLCA,Molecular,METH,AKT1,33
TCGA,BLCA,Molecular,GEXP,AKT1,33
TCGA,BLCA,Molecular,RPPA,AKT1,33
TCGA,BLCA,Molecular,RPPA,AKT1,33
TCGA,BLCA,Molecular,RPPA,AKT1,33
TCGA,BLCA,Molecular,METH,KRAS,33
TCGA,BLCA,Molecular,GEXP,KRAS,33
TCGA,LUSC,Molecular,METH,TP53,33
TCGA,LUSC,Molecular,METH,TP53,33
TCGA,LUSC,Molecular,RPPA,TP53,33
TCGA,LUSC,Molecular,GEXP,TP53,33
TCGA,LUSC,Molecular,GEXP,TP53,33
TCGA,LUSC,Molecular,GNAB,TP53,33
TCGA,LUSC,Molecular,RPPA,RAD51,33
TCGA,LUSC,Molecular,GEXP,RAD51,33
TCGA,LUSC,Molecular,GEXP,RAD51,33
TCGA,LUSC,Molecular,METH,AKT1,33
TCGA,LUSC,Molecular,RPPA,AKT1,33
TCGA,LUSC,Molecular,RPPA,AKT1,33
TCGA,LUSC,Molecular,RPPA,AKT1,33
TCGA,LUSC,Molecular,GEXP,AKT1,33
TCGA,LUSC,Molecular,GEXP,AKT1,33
TCGA,LUSC,Molecular,GNAB,AKT1,33
TCGA,LUSC,Molecular,METH,KRAS,33
TCGA,LUSC,Molecular,METH,KRAS,33
TCGA,LUSC,Molecular,METH,KRAS,33
TCGA,LUSC,Molecular,METH,KRAS,33
TCGA,LUSC,Molecular,RPPA,KRAS,33
TCGA,LUSC,Molecular,GEXP,KRAS,33
TCGA,LUSC,Molecular,GEXP,KRAS,33
TCGA,LUSC,Molecular,GNAB,KRAS,33
TCGA,OV,Molecular,METH,TP53,33
TCGA,OV,Molecular,RPPA,TP53,33
TCGA,OV,Molecular,GEXP,TP53,33
TCGA,OV,Molecular,GEXP,TP53,33
TCGA,OV,Molecular,GNAB,TP53,33
TCGA,OV,Molecular,RPPA,RAD51,33
TCGA,OV,Molecular,GEXP,RAD51,33
TCGA,OV,Molecular,GEXP,RAD51,33
TCGA,OV,Molecular,METH,AKT1,33
TCGA,OV,Molecular,RPPA,AKT1,33
TCGA,OV,Molecular,RPPA,AKT1,33
TCGA,OV,Molecular,RPPA,AKT1,33
TCGA,OV,Molecular,GEXP,AKT1,33
TCGA,OV,Molecular,GEXP,AKT1,33
TCGA,OV,Molecular,METH,KRAS,33
TCGA,OV,Molecular,METH,KRAS,33
TCGA,OV,Molecular,METH,KRAS,33
TCGA,OV,Molecular,RPPA,KRAS,33
TCGA,OV,Molecular,GEXP,KRAS,33
TCGA,OV,Molecular,GEXP,KRAS,33
TCGA,OV,Molecular,GNAB,KRAS,33
TCGA,COAD,Molecular,METH,TP53,33
TCGA,COAD,Molecular,RPPA,TP53,33
TCGA,COAD,Molecular,GEXP,TP53,33
TCGA,COAD,Molecular,GEXP,TP53,33
TCGA,COAD,Molecular,GNAB,TP53,33
TCGA,COAD,Molecular,RPPA,RAD51,33
TCGA,COAD,Molecular,GEXP,RAD51,33
TCGA,COAD,Molecular,GEXP,RAD51,33
TCGA,COAD,Molecular,METH,AKT1,33
TCGA,COAD,Molecular,RPPA,AKT1,33
TCGA,COAD,Molecular,RPPA,AKT1,33
TCGA,COAD,Molecular,RPPA,AKT1,33
TCGA,COAD,Molecular,GEXP,AKT1,33
TCGA,COAD,Molecular,GEXP,AKT1,33
TCGA,COAD,Molecular,GNAB,AKT1,33
TCGA,COAD,Molecular,METH,KRAS,33
TCGA,COAD,Molecular,METH,KRAS,33
TCGA,COAD,Molecular,RPPA,KRAS,33
TCGA,COAD,Molecular,GEXP,KRAS,33
TCGA,COAD,Molecular,GEXP,KRAS,33
TCGA,COAD,Molecular,GNAB,KRAS,33
TCGA,READ,Molecular,METH,TP53,33
TCGA,READ,Molecular,RPPA,TP53,33
TCGA,READ,Molecular,GEXP,TP53,33
TCGA,READ,Molecular,GEXP,TP53,33
TCGA,READ,Molecular,GNAB,TP53,33
TCGA,READ,Molecular,RPPA,RAD51,33
TCGA,READ,Molecular,GEXP,RAD51,33
TCGA,READ,Molecular,GEXP,RAD51,33
TCGA,READ,Molecular,METH,AKT1,33
TCGA,READ,Molecular,RPPA,AKT1,33
TCGA,READ,Molecular,RPPA,AKT1,33
TCGA,READ,Molecular,RPPA,AKT1,33
TCGA,READ,Molecular,GEXP,AKT1,33
TCGA,READ,Molecular,GEXP,AKT1,33
TCGA,READ,Molecular,GNAB,AKT1,33
TCGA,READ,Molecular,METH,KRAS,33
TCGA,READ,Molecular,METH,KRAS,33
TCGA,READ,Molecular,METH,KRAS,33
TCGA,READ,Molecular,RPPA,KRAS,33
TCGA,READ,Molecular,GEXP,KRAS,33
TCGA,READ,Molecular,GEXP,KRAS,33
TCGA,READ,Molecular,GNAB,KRAS,33
TCGA,BRCA,Molecular,METH,TP53,33
TCGA,BRCA,Molecular,RPPA,TP53,33
TCGA,BRCA,Molecular,GEXP,TP53,33
TCGA,BRCA,Molecular,GEXP,TP53,33
TCGA,BRCA,Molecular,GNAB,TP53,33
TCGA,BRCA,Molecular,GEXP,RAD51,33
TCGA,BRCA,Molecular,GEXP,RAD51,33
TCGA,BRCA,Molecular,METH,AKT1,33
TCGA,BRCA,Molecular,RPPA,AKT1,33
TCGA,BRCA,Molecular,RPPA,AKT1,33
TCGA,BRCA,Molecular,RPPA,AKT1,33
TCGA,BRCA,Molecular,GEXP,AKT1,33
TCGA,BRCA,Molecular,GEXP,AKT1,33
TCGA,BRCA,Molecular,GNAB,AKT1,33
TCGA,BRCA,Molecular,METH,KRAS,33
TCGA,BRCA,Molecular,METH,KRAS,33
TCGA,BRCA,Molecular,METH,KRAS,33
TCGA,BRCA,Molecular,METH,KRAS,33
TCGA,BRCA,Molecular,RPPA,KRAS,33
TCGA,BRCA,Molecular,GEXP,KRAS,33
TCGA,BRCA,Molecular,GEXP,KRAS,33
TCGA,BRCA,Molecular,GNAB,KRAS,33
TCGA,KIRC,Molecular,METH,TP53,33
TCGA,KIRC,Molecular,RPPA,TP53,33
TCGA,KIRC,Molecular,GEXP,TP53,33
TCGA,KIRC,Molecular,GEXP,TP53,33
TCGA,KIRC,Molecular,GNAB,TP53,33
TCGA,KIRC,Molecular,RPPA,RAD51,33
TCGA,KIRC,Molecular,GEXP,RAD51,33
TCGA,KIRC,Molecular,GEXP,RAD51,33
TCGA,KIRC,Molecular,METH,AKT1,33
TCGA,KIRC,Molecular,RPPA,AKT1,33
TCGA,KIRC,Molecular,RPPA,AKT1,33
TCGA,KIRC,Molecular,RPPA,AKT1,33
TCGA,KIRC,Molecular,GEXP,AKT1,33
TCGA,KIRC,Molecular,GNAB,AKT1,33
TCGA,KIRC,Molecular,METH,KRAS,33
TCGA,KIRC,Molecular,METH,KRAS,33
TCGA,KIRC,Molecular,METH,KRAS,33
TCGA,KIRC,Molecular,METH,KRAS,33
TCGA,KIRC,Molecular,RPPA,KRAS,33
TCGA,KIRC,Molecular,GEXP,KRAS,33
TCGA,KIRC,Molecular,GEXP,KRAS,33
TCGA,KIRC,Molecular,GNAB,KRAS,33
TCGA,GBM,Molecular,RPPA,ALL,171
TCGA,GBM,Molecular,GEXP,ALL,28731
TCGA,GBM,Molecular,GNAB,ALL,12021
TCGA,GBM,Molecular,METH,ALL,19705
TCGA,GBM,Molecular,CNVR,ALL,4562
TCGA,GBM,Clinical,CLIN,ALL,115
TCGA,GBM,Clinical,SAMP,ALL,2109
TCGA,LUAD,Molecular,GEXP,ALL,28599
TCGA,LUAD,Molecular,RPPA,ALL,160
TCGA,LUAD,Molecular,METH,ALL,19773
TCGA,LUAD,Molecular,GNAB,ALL,22450
TCGA,LUAD,Clinical,CLIN,ALL,431
TCGA,LUAD,Molecular,MIRN,ALL,1846
TCGA,LUAD,Molecular,CNVR,ALL,3767
TCGA,LUAD,Clinical,SAMP,ALL,2109
TCGA,UCEC,Molecular,GEXP,ALL,28623
TCGA,UCEC,Molecular,GNAB,ALL,36815
TCGA,UCEC,Molecular,METH,ALL,19738
TCGA,UCEC,Molecular,RPPA,ALL,166
TCGA,UCEC,Clinical,CLIN,ALL,464
TCGA,UCEC,Molecular,MIRN,ALL,1846
TCGA,UCEC,Molecular,CNVR,ALL,4288
TCGA,UCEC,Clinical,SAMP,ALL,2061
TCGA,HNSC,Molecular,RPPA,ALL,160
TCGA,HNSC,Molecular,GEXP,ALL,16307
TCGA,HNSC,Molecular,METH,ALL,16190
TCGA,HNSC,Molecular,GNAB,ALL,17951
TCGA,HNSC,Molecular,MIRN,ALL,1846
TCGA,HNSC,Molecular,CNVR,ALL,3191
TCGA,HNSC,Clinical,CLIN,ALL,660
TCGA,HNSC,Clinical,SAMP,ALL,1941
TCGA,BLCA,Molecular,RPPA,ALL,179
TCGA,BLCA,Molecular,GEXP,ALL,16707
TCGA,BLCA,Molecular,GNAB,ALL,14719
TCGA,BLCA,Molecular,METH,ALL,19556
TCGA,BLCA,Clinical,CLIN,ALL,371
TCGA,BLCA,Molecular,MIRN,ALL,1846
TCGA,BLCA,Molecular,CNVR,ALL,2526
TCGA,BLCA,Clinical,SAMP,ALL,2039
TCGA,LUSC,Molecular,GEXP,ALL,28740
TCGA,LUSC,Molecular,RPPA,ALL,174
TCGA,LUSC,Molecular,GNAB,ALL,18160
TCGA,LUSC,Molecular,METH,ALL,19711
TCGA,LUSC,Clinical,CLIN,ALL,376
TCGA,LUSC,Molecular,MIRN,ALL,1846
TCGA,LUSC,Molecular,CNVR,ALL,4607
TCGA,LUSC,Clinical,SAMP,ALL,1585
TCGA,OV,Molecular,RPPA,ALL,165
TCGA,OV,Molecular,GEXP,ALL,28744
TCGA,OV,Molecular,GNAB,ALL,12163
TCGA,OV,Molecular,METH,ALL,17584
TCGA,OV,Molecular,MIRN,ALL,1846
TCGA,OV,Molecular,CNVR,ALL,9356
TCGA,OV,Clinical,CLIN,ALL,273
TCGA,OV,Clinical,SAMP,ALL,1409
TCGA,COAD,Molecular,GEXP,ALL,28661
TCGA,COAD,Molecular,RPPA,ALL,171
TCGA,COAD,Molecular,GNAB,ALL,22867
TCGA,COAD,Molecular,METH,ALL,19755
TCGA,COAD,Molecular,MIRN,ALL,1846
TCGA,COAD,Molecular,CNVR,ALL,2703
TCGA,COAD,Clinical,CLIN,ALL,446
TCGA,COAD,Clinical,SAMP,ALL,2112
TCGA,READ,Molecular,GEXP,ALL,28597
TCGA,READ,Molecular,RPPA,ALL,171
TCGA,READ,Molecular,GNAB,ALL,22511
TCGA,READ,Molecular,METH,ALL,19694
TCGA,READ,Molecular,MIRN,ALL,1846
TCGA,READ,Molecular,CNVR,ALL,1384
TCGA,READ,Clinical,CLIN,ALL,299
TCGA,READ,Clinical,SAMP,ALL,1502
TCGA,BRCA,Molecular,GEXP,ALL,28755
TCGA,BRCA,Molecular,RPPA,ALL,142
TCGA,BRCA,Molecular,GNAB,ALL,16061
TCGA,BRCA,Molecular,METH,ALL,19735
TCGA,BRCA,Clinical,CLIN,ALL,996
TCGA,BRCA,Molecular,MIRN,ALL,1846
TCGA,BRCA,Molecular,CNVR,ALL,8841
TCGA,BRCA,Clinical,SAMP,ALL,2589
TCGA,KIRC,Molecular,GEXP,ALL,28577
TCGA,KIRC,Molecular,RPPA,ALL,166
TCGA,KIRC,Molecular,GNAB,ALL,12933
TCGA,KIRC,Molecular,METH,ALL,19838
TCGA,KIRC,Molecular,MIRN,ALL,1846
TCGA,KIRC,Molecular,CNVR,ALL,1917
TCGA,KIRC,Clinical,CLIN,ALL,278
TCGA,KIRC,Clinical,SAMP,ALL,1799
